INFO 2023-04-25 12:14:21,579 Watching for file changes with StatReloader
INFO 2023-04-25 12:14:25,193 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:14:25,389 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:14:25,722 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 12:14:25,723 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 12:14:25,724 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 12:14:25,735 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 12:14:25,738 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 12:14:25,751 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 12:14:25,753 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 12:14:25,758 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 12:14:25,761 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 12:14:25,766 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 12:14:25,772 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 12:14:25,778 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 12:14:26,748 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 12:14:26,956 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-04-25 12:14:27,559 Not Found: /favicon.ico
WARNING 2023-04-25 12:14:27,560 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2023-04-25 12:14:54,844 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-25 12:14:54,869 "GET / HTTP/1.1" 200 9298
INFO 2023-04-25 12:14:54,991 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-25 12:14:55,007 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-04-25 12:14:55,110 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-04-25 12:19:40,684 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:19:40,698 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:19:40,773 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 12:19:40,783 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 12:19:40,787 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 12:19:40,790 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 12:19:40,794 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 12:19:40,797 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 12:19:40,811 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 12:19:40,814 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 12:19:40,815 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 12:19:40,817 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 12:19:40,819 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 12:19:40,820 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 12:20:10,677 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 12:20:10,707 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2023-04-25 12:21:52,603 "GET / HTTP/1.1" 200 9298
INFO 2023-04-25 12:21:59,246 "GET /current-session/ HTTP/1.1" 200 10606
